Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,6.0,0.996999979019165,"기업, 벤처, 육성, 선정, 지원, 프로그램, 창업, 사내벤처, 지난해, 분사","['한', '주간', '국내', '주식시장', '약세', '기록', '미국', '장단기', '국채', '금리', '역전', '발생', '글로벌', '경기둔화', '우려', '심화', '가운데', '삼성전자', '사전', '공시', '1·4분기', '잠정실적', '부진', '시장', '전반적', '투자심리', '위축', '영향', '22일', '펀드평가사', '제로인', '한', '주간', '코스피', '지수', '2', '60', '하락', '코스닥', '지수', '3', '20', '하락', '업종별', '섬유의복업1', '39', '통신업1', '31', '비금속', '광물제품업1', '22', '강세', '반면', '의약품업6', '75', '증권업4', '58', '약세', '기간', '전체', '국내', '주식형', '펀드', '2', '52', '하락', '코스피200', '인덱스', '펀드2', '33', '중소형주식', '펀드2', '08', '일반주식', '펀드2', '06', '배당주식', '펀드1', '65', '대부분', '주식형', '펀드', '소유형', '주식', '마이너스', '수익률', '국내', '채권시장', '강세', '미국', '국채', '장단기', '금리', '12년', '만', '역전', '확산', '경기침체', '우려', '국내', '국고채', '금리', '폭', '하락', '외국인', '수세', '3년물', '5년물', '기준금리', '하회', '10년물', '역대', '최대', '규모', '순매수', '기록', '경신', '만기별', '금리', '국고채', '1년물', '금리', '전주', '대비', '3', '90bp', '하락', '1', '75', '기록', '3년물', '금리', '경우', '11', '70bp', '하락', '1', '675', '마감', '5년물', '금리', '13', '00bp', '하락', '1', '697', '10년물', '금리', '11', '60bp', '하락', '1', '805', '기록', '전체', '국내', '채권형', '펀드', '주간', '0', '22', '상승', '주간', '채권형', '펀드', '수익률', '중기채권', '펀드0', '62', '우량채권', '펀드0', '48', '일반채권', '펀드', '0', '15', '초단기채권', '펀드0', '06', '플러스', '수익률', '기록', '주간', '글로벌', '주요', '증시', '하락세', '다우', '종합', '지수', '경기침체', '전조', '미', '국채', '장단기', '금리역전', '2007년', '이후', '12년', '만', '현실화', '글로벌', '경기', '침체', '경계감', '급락세', '이후', '미·중', '무역회담', '재개', '기대감', '미', '국채', '금리', '하락', '진정', '영향', '미', '증시', '소폭', '반등했으', '상해종합지수', '무역', '협상', '경계심', '부동산', '정보기술', '농산물', '관련주', '주요업종', '하락세', '하락', '마감', '50', '지수', '글로벌', '경기', '둔화', '우려', '영국', '유럽연합EU', '이탈', '경계감', '하락세', '마감', '해외주식형', '펀드', '주간', '1', '17', '하락', '남미', '신흥국', '주식', '6', '94', '폭', '하락', '섹터별', '펀드', '기초소재부문', '1', '31', '상승세', '대유형', '기준', '해외부동산형0', '50', '해외채권형이0', '27', '플러스', '수익률', '기록', '해외채권혼합형0', '23', '해외주식혼합형0', '15', '커머더티형이0', '13', '마이너스', '수익률', '기록']"
1,2.0,0.9977999925613403,"삼성전자, 시장, 광고, 8K, 영입, 분야, 글로벌, 화웨, 화웨이, 사업","['업계', '지난해', '말', '제기', '화웨이', '시장', '진출설', '기정사실', '분위기', '중국', '화웨이', '사업', '손', '추측', '현실화', '신생', '기업', '32년', '업력', '화웨이', '관심', '이유', '뭘까', '수십년', '글로벌', '시장', '진입장벽', '공', '유통망', '시장', '구도', '고착화', '정체', '시장', '진출', '화웨이에', '버거운', '환경들이', '화웨', '글로벌', '조사들', '위협적', '그동안', '다양한', '분야', '퍼포먼스', '워낙', '강렬해서', '화웨', '세계무대', '지', '불', '수년', '만', '통신', '장비', '스마트폰', '업계', '골리앗', '업계', '지난해', '말', '제기', '화웨이', '시장', '진출설', '기정사실', '분위기', '화웨이', '중국', '전', '업체', '연구개발', '판매', '인력', '채용', '사물인터넷', '부서', '배치', '소식', '화웨', '55', '65인치', '출시', '디스플레이', '공급사', '낙점', '보', '화웨이', '기존', '제품들', '형태', '가능성', '소셜', '게임', '기능', '일종', '홈', '허브', '역할', '듀얼', '카메라', '장착', '스트리밍', '영상통화', '기능', '제공', '예상', '위청둥餘承東·리처드', '유', '화웨', '소비자부문', '최고경영자CEO', '이달', '중순', '상하', '가전박람회AWE2019', '일반', '계획', '뜻', '위청동', '일반', '라', '혁신', '기술', '적용', '대형', '디스플레이', '제품', '준비중이', '스피커', '스마트', '제품', '출시', '예정', '말', '기능', '첨가', '스마트', '제품', '출시', '가전', '분야', '확대', '의미', '해석', '화웨이', '이유', '명확', '5세대5G', '수요', '5G', '4K', '8K', '고화질', '영상', '기술', '구현', '전송', '데', '유리', '글로벌', '5G', '장비', '시장', '집어삼킨', '화웨', '이점', '염두', '화웨', '5G', '시대', '기점', '스마트홈', '시장', '영역', '확대', '스마트폰', '가전', '정상', '궤도', '화웨', '생태계', '구축', '의도', '화웨이', '스마트홈', '오픈', '네트워크', '플랫폼', '하이링크HiLink', '스마트홈', '생태계', '구축', '준비', '5G', '기술', '고도화', '스마트홈', '시장', '규모', '시장조사업체', '스트래티지', '애널리틱스SA', '글로벌', '스마트홈', '시장', '지난해', '960억', '달러약', '109조원', '2023년', '1550억', '달러약', '176조원', '성장', '전망', '세계', '1위', '글로벌', '기업', '화웨이에', '시장', '진출', '숙명', '셈', '위청둥', '화웨', '소비자부문', '최고경영자CEO사진바이두화웨', '휴대폰', '사업', '성공', '경험', '사업', '이식', '예상', '화웨', '2010년', '화이트라벨상표', '미부착', '제품', '휴대폰', '온라인', '판매', '시장', '경쟁업체들', '출발', '화웨이', '아너', '두', '브랜드', '프리미엄', '중저가', '시장', '공략', '글로벌', '업체', '성장', '화웨', '지난해', '스마트폰', '시장', '세계', '2위', '애플', '선두', '삼성전자', '턱', '화웨', '시', '내', '삼성전자', '세계', '최대', '스마트폰', '공급자', '공언', '화웨', '휴대폰', '마찬가지', '화웨이', '아너', '활용', '투트랙', '전략', '중국', '현지', '매체', '보급형', '브랜드', '아너', '온라인', '판매', '집중', '프리미엄', '브랜드', '화웨', '65인치', '대형', '생산', '치중', '전망', '스마트홈', '시장', '주력', '삼성전자', '사업', '시작', '화웨이', '찜찜', '화웨이', '진입', '초', '자국', '인도', '중심', '사업', '성장', '속도', '위협적', '존재', '화웨', '점', '스마트폰', '시장', '확인', '화웨이', '업체', '리스크', '떠안고', '핵심기술', '디스플레이', '경쟁력', '점', '수십년', '고착화', '공', '유통망', '시장', '구도', '극복', '삼성전자', '소', '글로벌', '조사들', '신뢰도', '화웨이', '사업', '전망', '긍정적', '평가', '주', '기술력', '브랜드', '힘', '화웨', '5G', '혁신', '기술', '오랫동안', '화웨이', '개발', '용', '하이실리콘', '칩', '중국', '6대', '조사', '공급', '정도', '신뢰도', '화웨', '5G', '통신장비', '스마트폰', '실적', '리', '중국', '대표', '브랜드', '글로벌', '조사들', '시선', '화웨이', '출시']"
2,4.0,0.9952999949455261,"삼성전자, 실적, 1분기, 시장, 반도체, 예상, 가격, 램, 지난해, 전망","['SK하이닉스', '1분기', '영업익9분기만', '2조원', '밑돌듯◆', '2월', '산업활동동향', '◆삼성전자', '메모리반도체', '제조사가', '대형', '거래처', '제품', '공급', '적용', '램', '고정가격', '5달러', '밑', '반도체', '시장', '데이터', '서버', '중심', '반도체', '수요', '기대감', '정보기술IT', '경기', '둔화', '전체', '반도체', '수요', '데', '한계', '분석', '29일', '금융투자업계', '반도체', '가격', '하락', '주요', '반도체', '조사', '실적', '전망치', '계속해서', '하향', '조정', '삼성전자', '26일', '이례적', '실적', '하향', '전망', '어닝쇼크', 'SK하이닉스', '메모리', '반도체', '수요', '감소', '제품', '가격', '하락폭', '확', '실적', '부진', '불가피', '전망', '낸드플래시', '가격', '작년', '충북', '청주', '준공', 'M15', '라', '뿐', '기존', '라인', '제조', '원', '수준', '상황', '가격', '하락', '계속', '경우', '낸드플래시', '부문', '적자폭', '확대', '금융투자업계', '관계자', '반도체', '가격', '회복', '신호', 'SK하이닉스', '경우', '1분기', '영업이익', '2016년', '4분기', '이후', '9분기', '만', '2조원', '밑', '일각', '반도체', '시황', '하반기', '호전', '암울한', '전망', '27일', '시장조사업체', '마킷', '램', '시장', '침체', '3분기까', '올해', '램', '시장', '전년', '대비', '22', '감소', '770억달러', '예상', '재작년', '작년', '호황', '후유증', '발생', '분석', '반도체', '업체들', '단기적', '공급', '물량', '조절', '수요', '회복', '계획', '미국', '마이크론', '램', '낸드플래시', '5', '감산', '발표', '삼성전자', 'SK하이닉스', '설비', '투자', '보수적', '진행', '방식', '공급량', '조절', '계획', '반도체', '업계', '2분기', '예정', '인텔', '중앙처리장치CPU', '출시', '기대감', '양산', '본격화', '성능', '고용량', '메모리', '반도체', '수요', '발생', '때문']"
3,4.0,0.9972000122070312,"삼성전자, 실적, 1분기, 시장, 반도체, 예상, 가격, 램, 지난해, 전망","['이번주', '시장', '삼성전자', '사상', '첫', '셀프', '고백', '삼성전자', '분기', '마감', '전', '예상', '실적', '공시한', '거', '처음', '때문', '삼성전자', '1분기', '잠정실적', '공개', '예정일', '일주일', '전', '확정실적', '발표', '한달', '실적', '시장', '기대치', '발표', '투자자들', '충격', '불가피한', '조치', '설명', '삼성전자', '고백', '이후', '올해', '1분기', '쇼크', '원인', '시장', '관심', '업계', '수천억원', '적자', '디스플레이', '추락', '영향', '분석', '반도체', '실적', '직전', '분기', '7조원', '하락', '4조원', '추정', '증권가', '삼성디스플레이', '1분기', '영업손실', '규모', '최대', '7000억원', '추정', '지난해', '3·4분기', '삼성디스플레이', '영업이익', '1조1000억원', '9700억원', '수준', '불', '3개월', '수천억대', '적자', '실책', '중국발', '공급과잉', '적자', '면치못해온', '액정표시장치', '삼성디스플레이', '버팀목', '유기발광다이오드', '부문', '적자', '2017년', '11월', '이동훈', '사장', '삼성디스플레이', '사령탑', '취임', '이후', '회사', '실적', '최대', '고객사인', '애플', '좌우', '전세계', '아이폰', '판매량', '삼성', '실적', '롤러코스터', '이동훈', '사장', '28일', '서울', '양재동', '더케이호텔', '2019', '상생협력데이', '행사', '기자', '실적', '앞', '말', '뿐', '삼성디스플레이', '지난해', '1분기', '2분기', '애플', '첫', '패널', '스마트폰', '아이폰X', '부진', '영업이익', '4110억원', '1400억원', '저조한', '성적표', '3분기엔', '신제품', '아이폰XS', '출시', '효과', '영업이익', '1조원', '효과', '매출', '비중', '최대', '80', '상황', '애플', '의존도', '높다보', '실적', '안정성', '확보', '도현우', 'NH투자증권', '연구원', '삼성전자', '1분기', '영업이익', '감소', '주도하', '사업부', '디스플레이', '대형', '경쟁', '심화', '패널가격', '하락', '지속', '미국', '중국', '고객사의', '스마트폰', '판매부진', '가동률', '하락', 'A4', '일부', '신규', '라', '가동', '개시', '감가상각비', '반영', '대규모', '적자', '추정', '시장', '비관론', '일색', '잃을', '평', '중국', '주도권', '사업', '올해', '업계', '중론', '올해', '중국', '10', '5세대', '양산', '본격화', '공급물량', '면적기준', '2배', '때문', '글로벌', '시장조사기관', '마킷', '19일', '코리아', '디스플레이', '콘퍼런스', '대형', '디스플레이', '시장', '업체', '지난해', '강정', '출하량', '이익률', '물량', '의미', '분석', '대형', '디스플레이', '시장', '중국', '올해', '면적', '기준', '점유율', '1위', '디스플레이', '기업', '방법', '플렉서블', '디스플레이', '시장', '뿐', '출구전략', '제시', '궁지', '삼성디스플레이', '생존', '전환', '모습', '퀀텀닷유기발광다이오드QDOLED', '디스플레이', '양산', '출구', '모색', '의도', '업계', '삼성디스플레이', '기존', '패널', '생산', 'L81', '라', '뿐', 'L82라인', '8월', '안', '셧다운폐쇄해', '전환', '2021년', '1분기', '양산', '시점', '내년', '하반기', '양산', '가능', '계획', '방침', '시장', '주력', '역부족', '점', '한계', '지적', '박진', '마킷', '이사', '삼성', '공격적', '투자', '1000만대', '하이엔드급', '접근', '가능', '메인스트림', '역부족', '경쟁력', '좌우', '생산', '능력', '확대', '규모', '삼성디스플레이', '개발능력', '강조']"
4,5.0,0.9958999752998352,"삼성전자, 협력사, 부회장, 김기남, 삼성, 갤럭시, 행사, 환경안전, 대표이사, 이날","['올해', '밀라노', '디자인', '위크', '스타', '프리Style', '주제', '전시관', '운영', '스타', '프리', '1월', '미국', '라스베이거스', '세계', '최대', '소비자', '가전전시회', '2019', '발표', '현대차', '고객', '경험UX', '방향성', '디자인', '철학', '고객', '라이프', '스타일', '공간', '하드웨어', '콘텐트', '자유', '구성', '스타', '프리', '기본', '개념', '조원홍', '현대차', '고객경험본부장', '“이번', '밀라노', '디자인', '위크', '자동차', '개인', '거주공간', '것”', '말', '현대자동차', '내달', '열리', '밀라노', '디자인', '위크', '고객경험', '방향성UX', '스타', '프리', '주제', '전시', '사진', '현대자동차', '전시관', '조감도', '현대자동차', '박람회', '기간', '현대차', '영국', '라이프스타', '매거진', '모노클', '컬래버레이션해', '전시관', '운영', '이상엽', '현대차디자인센터장', '브륄레', '모노클', '편집장', '네덜란드', '축', '마스', '패널', '토론', '삼성전자', '밀라노', '디자인', '위크', '19일', '재해석해', '공개', '자사', '디자인', '철학', 'Soul대담하라', '영혼', '교감', '주제', '전시', '삼성전자', '디자인', '철학', '재해석', '거', '1996년', '이후', '23년', '만', '기존', '사용자', '출발', '미래', '디자인', '철학', '표방', '디자인', '경영', '중시', '삼성전자', '밀라노', '디자인', '위크', '참석', '삼성전자', '19일', '공개한', '디자인', '철학', 'Soul대담하라', '영혼', '교감', '삼성전자', '올해', '밀라노', '디자인', '위크', '기반', '다양한', '활동', '삼성전자', '디자인', '홈페이지', '캡처', '2005년', '이건희', '회장', '밀라노', '디자인', '위크', '참석', '디자인', '혁명', '강조', '밀라노', '선언', '뒤', '삼성전자', '디자인경영센터', '제품', '디자인과', '사용자', '경험', '공', '국내', '제조업체들', '밀라노', '디자인', '워크', '참가', '물꼬', '삼성전자', '제조업체들', '밀라노', '디자인', '박람회', '공', '거', '개성', '중시', '밀레니얼', '세대', '사용자', '경험', '취향', '트렌드', '감', '구매력', '기업', '미래', '의미', '현대차', '관계자', '“올해', '스타', '프리', '사용자', '경험', '방향성', '제시', '세계', '최대', '디자인', '박람회', '현대차', '철학', '기회', '것”', '말']"
5,2.0,0.9973000288009644,"삼성전자, 시장, 광고, 8K, 영입, 분야, 글로벌, 화웨, 화웨이, 사업","['삼성전자', '미래', '사업', '육성', '주력', '사업', '강화', '핵심인재', '영입', '삼성전자', 'AI·빅데이터·로봇', '미래', '사업', '핵심', '기술', '개발', '연구인력', '영입', '한편', '주력', '사업', '역량', '강화', '해외', '영업·마케팅', '인재', '확보', '◇4차', '산업혁명', '선도', 'AI·빅데이터·로봇', '분야', '권위', '영입삼성전자', '연구', '역량', '강화', '미국', '하버드대학교', '위구연', '교수', '펠로우Fellow', '영입', '펠로우', '삼성전자', '세계', '최고', '수준', '기술력', '보유', '전문가', '부', '회사', '연구', '분야', '최고직', '위구연', '펠로우', '삼성리서치Samsung', '인공신경망Neural', '기반', '차세대', '프로세서', '관련', '연구', '저전력·고성능', '프로세서', '분야', '세계적', '석학', '중', '한명', '위구연', '펠로우', '2002년', '하버드대학교', '전기공학', '컴퓨터과학', '교수', '재직', '지난해', '석좌교수', '임명', '2013년', '세계', '최소형', '비행', '곤충', '로봇', '로보비RoboBee', '센서·엑추에이터·프로세서', '핵심', '기술', '개발', '주목', '바', '삼성전자', '빅데이터', '분석', '전문가', '장우승', '박사', '무선사업부', '빅데이터', '개발', '총괄', '전무', '영입', '장', '전무', '미국', '미주리대학교', '산업공학', '교수', '역임', '아마존', '관련', '업무', '담당', '삼성전자', '한국과학기술연구원KIST', '의료로봇연구단장', '역임', '강성철', '박사', '전무', '영입', '로봇', '기술개발', '강화', '강', '전무', '로봇공학', '박사', '출신', '국내', '로봇', '개발', '분야', '선도', '의료우주항공', '다양한', '분야', '로봇', '프로젝트', '바', '◇주력사업', '경쟁력', '강화', '전문', '영입삼성전자', '글로벌', '디지털', '마케팅', '전문', '윌리엄', '김William', '전', '올세인츠AllSaints', '무선사업부', '리테일·이커머스', '총괄', '부사장', '영입', '윌리엄', '부사장', '센터', '온·오프라', '채널', '고객들', '접점', '강화', '스마트폰', '판매', '확대', '부사장', '세계적', '패션', '브랜드', '구찌Gucci', '버버리Burberry', '경험', '2012년', '영국', '패션', '브랜드', '올세인츠', '영입', '바', '한편', '삼성전자', '글로벌', '자동차', '회사', '폭스바겐Volkswagen', '민승재', '미국', '디자인센터', '총괄', '디자이너', '디자인경영센터', '상무', '영입', '디자인', '역량', '강화', '상무', '선행', '디자인', '전략', '수립', '기획', '상무', '폭스바겐', '재직', '시절', '제품', '디자인과', '디자인', '융합', '차세대', '디자인', '주도', '◇해외법', '마케팅', '역량', '강화', '현지', '인재', '영입삼성전자', '해외법인', '마케팅', '역량', '강화', '북미', '구주', '현지', '마케팅', '전문가', '영입', '미국', '법인', '채널', '마케팅', '전문가', '제임스', '피슬러James', '오디오', '홈엔터테인먼트', '제품', '영업·마케팅', '담당', '현지', '임원SVP', '영입', '구주', '시장', '마케팅', '전략', '수립', '브랜드·디지털', '마케팅', '역량', '강화', '영국', '위치한', '삼성전자', '구주총괄', '마케팅', '책임자CMO로', '글로벌', '기업', '마케팅', '담당', '벤자민', '브라운Benjamin', '현지', '임원VP', '영입', '삼성전자', '관계자', '지난해', '분야', '세계적', '석학', '미국', '프린스터대학교', '세바스찬', '승', '교수', '코넬테크', '다니엘', '리', '교수', '삼성리서치', '부사장', '영입', '바', '국내외', '우수', '인재들', '지속적', '영입', '앞', '삼성전자', '다양한', '사업', '분야', '우수', '인재', '영입', '확대', '방침', '말']"
6,2.0,0.9975000023841858,"삼성전자, 시장, 광고, 8K, 영입, 분야, 글로벌, 화웨, 화웨이, 사업","['세계', '최고', '기술보유', '펠로우에위구연', '하버드대', '교수', '임명', '마케팅·디자', '전문', '영입', '삼성전자', '인공지능AI·빅데이터·로봇', '미래', '사업', '핵심', '기술', '국내외', '핵심', '인재들', '영입', '미국', '하버드대', '전기공학·컴퓨터과학', '석좌교수', '아마존', '빅데이터', '전문', '폭스바겐·아우디·올세인츠', '글로벌', '기업', '마케팅·디자', '전문', '다양한', '방면', '인재들', '포함', '삼성', '한번', '인재경영', '도약', '준비', '분석', '■AI·빅데이터·로봇', '권위', '영입삼성전자', '인공지능AI·빅데이터·로봇', '미래', '사업', '핵심', '기술', '개발', '연구인력', '주력', '사업', '역량', '강화', '해외', '영업·마케팅', '인재', '확보', '3월', '31일', '삼성전자', '연구역량', '강화', '미국', '하버드대', '위구연', '교수', '펠로우Fellow', '영입', '펠로우', '삼성전자', '세계', '최고', '수준', '기술력', '보유', '전문가', '부', '연구', '분야', '최고직', '위구연', '펠로우', '저전력·고성능', '프로세서', '분야', '세계적', '석학', '중', '한명', '2002년', '하버드대', '전기공학', '컴퓨터과학', '교수', '재직', '지난해', '석좌교수', '임명', '2013년', '세계', '최소형', '비행', '곤충', '로봇', '로보비RoboBee', '센서·엑추에이터·프로세서', '핵심', '기술', '개발', '주목', '바', '위', '펠로우', '삼성리서치', '인공신경망Neural', '기반', '차세대', '프로세서', '관련', '연구', '빅데이터', '분석', '전문가', '장우승', '박사', '무선사업부', '빅데이터', '개발', '총괄', '전무', '영입', '장', '전무', '미국', '미주리대학교', '산업공학', '교수', '역임', '아마존', '관련', '업무', '담당', '삼성전자', '한국과학기술연구원KIST', '의료로봇연구단장', '역임', '강성철', '박사', '전무', '영입', '로봇', '기술개발', '역량', '강화', '강', '전무', '로봇공학', '박사', '출신', '국내', '로봇', '개발', '분야', '선도', '의료', '우주항공', '다양한', '분야', '로봇', '프로젝트', '바', '삼성전자', '지난해', '분야', '세계적', '석학', '미국', '프린스터대학교', '세바스찬', '승', '교수', '코넬테크', '다니엘', '리', '교수', '삼성리서치', '부사장', '영입', '바', '■디지털·현지', '마케터', '디자이너', '영입삼성전자', '사업', '주력사업', '경쟁력', '강화', '전문가들', '영입', '글로벌', '디지털', '마케팅', '전문가', '윌리엄', '전', '올세인츠', '최고경영자CEO', '무선사업부', '리테일·이커머스', '총괄', '부사장', '임명', '윌리엄', '부사장', '센터', '온·오프라', '채널', '고객들', '접점', '강화', '스마트폰', '판매', '확대', '부사장', '패션', '브랜드', '구찌', '버버리', '경험', '2012년', '영국', '패션', '브랜드', '올세인츠', '브랜드', '가치', '주역', '글로벌', '자동차', '회사', '폭스바겐', '민승재', '미국', '디자인센터', '총괄', '디자이너', '디자인경영센터', '상무', '영입', '디자인', '역량', '강화', '상무', '선행', '디자인', '전략', '수립', '기획', '상무', '폭스바겐', '재직', '시절', '제품', '디자인과', '디자인', '융합', '차세대', '디자인', '주도', '삼성전자', '해외법인', '마케팅', '역량', '강화', '북미', '구주', '현지마케팅', '전문가', '영입', '미국', '법인', '채널', '마케팅', '전문가', '제임스', '피슬러', '오디오', '홈엔터테인먼트', '제품', '영업·마케팅', '담당', '현지', '임원SVP', '영입', '구주', '시장', '마케팅', '전략', '수립', '브랜드·디지털', '마케팅', '역량', '강화', '영국', '위치한', '삼성전자', '구주총괄', '마케팅', '책임자CMO로', '글로벌', '기업', '마케팅', '담당', '벤자민', '브라운', '현지', '임원VP', '임명', '삼성전자', '관계자', '국내외', '우수', '인재들', '지속적', '영입', '앞', '다양한', '사업', '분야', '우수', '인재', '영입', '확대', '방침', '말']"
7,4.0,0.9950000047683716,"삼성전자, 실적, 1분기, 시장, 반도체, 예상, 가격, 램, 지난해, 전망","['미국', '법원', '모바', '특허', '침해', '삼성전자', '“4천억원', '배상”', '평결', '베이징', '중국', '애플', '로고', '연합뉴스', '케이아이피', '2016년', '삼성전자', '상대', '미국', '텍사스', '동부지법', '특허', '침해', '소송', '바', '미국', '텍사스', '동부지법', '배심원단', '지난해', '6월', '삼성전자', '케이아이피', '특허', '침해', '판단', '4억', '달러', '배상', '평결', '배심원단', '삼성전자', '특허', '사용료', '고의', '침해', '판단', '삼성전자', '배심원', '평결', '불복신청', '평결', '결과', '확정', '1심', '판결', '판결', '고의', '침해', '인정', '경우', '배상액', '최대', '3배1조3000억원까지', '특허', '사용료', '삼성전자', '다양한', '방법', '진행', '삼성전자', '특허', '발명', '이종호', '교수', '과거', '재직', '경북대', '쪽', '지난해', '1월', '차례', '접촉해', '특허', '교수', '경북대', '소유', '소유권', '맞소송', '바', '관련', '기사', '단독', '인텔', '100억', '국내', '기술', '삼성', '특허료', '내', '꼼수', '삼성전자', '지난해', '4월', '산업통상자원부', '케이아이피', '사업', '기술', '무단', '유출', '혐의', '조사해달라', '요청', '관련', '기사', '단독', '삼성', '산자부', '특허권', '소송상대', '기술', '유출', '조사', '산자부', '조사', '결과', '케이아이피', '기술', '유출', '혐의', '결론', '한국', '대기업들', '중소기업', '기술', '무단', '값', '탈취', '행태', '어제오늘', '중소기업들', '대기업', '상대', '특허', '침해', '소송', '어마어마', '소송', '비용', '감당', '포기', '대기업들', '상황', '이용', '중간', '합의', '끝', '고사작전', '삼성전자', '미국', '특허', '침해', '소송', '벌', '케이아이피', '현재', '소송', '비용', '100억원', '지출']"
8,3.0,0.9958000183105469,"삼성전자, 전, 이산화탄소, 아마존, 발생, 램, 혐의, 누출, 제품, 지난해","['지난해', '경기', '용인시', '삼성전자', '기흥사업장', '이산화탄소CO₂', '누출', '사고', '3명', '사상자', '발생', '사건', '관련해', '경찰', '삼성전자', '임직원', '18명', '검찰', '송치', '29일', '경기', '용인동부경찰서', '박찬훈', '삼성전자', '부사장', '삼성전자', '임직원', '11명', '협력업체', '관계', '7명', '업무상', '과실치사', '화학물질관리법화관법', '위반', '혐의', '불구속', '송치', '임직원', '11명', '중', '박', '부사장', '비롯', '9명', '총괄', '책', '업무상', '과실치사상', '화학사고', '발생', '시', '환경청', '신고', '누락', '임직원', '2명', '화학물질관리법', '위반', '혐의', '적용', '전기절단', '공사', '담당', '5명', '배관교체', '공사', '담당', '2명', '협력업체', '관계', '7명', '업무상', '과실치사상', '혐의', '당시', '협력업체', '직원들', '사업장', '내', '기존', '소화설비', '장비', '교체', '중', '과정', '이산화탄소', '대량', '누출', '파악', '가스', '사업장', '화재', '발생', '시', '불길', '소화설비', '용도', '스프링클러', '설치', '구조', '방법', '사용', '삼성', '측', '설명', '경찰', '직후', '국립과학수사연구원', '부검', '결과', '한국소방산업기술원으로부터', '주요장비', '시설물', '감정', '결과', '토대', '박', '부사장', '비롯', '관계', '18명', '검찰', '송치', '결정', '협력업체', '삼성전자', '기흥사업장', '내', '소방시스템', '설비·운영보수', '담당', '전문', '업체', '사고발생', '이틀', '후', '지난해', '9월6', '경기', '용인시', '삼성전자', '기흥사업장', '이산화탄소', '유출', '현장', '경찰', '국과수', '관계자들', '합동', '감식', '경기남부지방경찰청', '제공', '2018', '9', '6뉴스1', '©', 'News1', '오장환', '기자앞', '지난해', '9월4', '오후', '1시55분께', '삼성전자', '기흥사업장', '내', '63라', '지하', '1층', '소화설비', '이산화탄소', '밀집시설', '협력업체', '소속', '이모씨25', '김모씨55', '주모씨27', '세', '사람', '채', '발견', '당시', '협력업체', '직원', '13명', '현장', '투입', '층', '10명', '제외', '공간', '세', '사람', '변', '동료', '신고', '부상자', '3명', '병원', '이송', '이씨']"
9,3.0,0.9939000010490417,"삼성전자, 전, 이산화탄소, 아마존, 발생, 램, 혐의, 누출, 제품, 지난해","['경찰', '지난해', '3명', '사상자', '삼성전자', '기흥사업장', '이산화탄소', '누출', '사고', '책', '삼성전자', '임직원', '18명', '기소의견', '검찰', '경기', '용인동부경찰', '업무상', '과실치사상', '화학물질관리법', '위반', '혐의', '박찬훈', '삼성전자', '부사장', '삼성전자', '임직원', '11명', '협력업체', '관계', '7명', '불구속', '송치', '지난해', '9월', '4일', '오후', '2시', '경기', '용인시', '삼성전자', '기흥사업장', '63라', '지하', '1층', '이산화탄소', '집합관', '옆', '복도', '소화용', '이산화탄소', '누출', '사고', '근로자', '2명', '1명', '검찰', '송치', '임직원들', '당시', '관련해', '전', '관리', '의무', '혐의', '소방설비', '철거', '중', '협력업체', '관계자', '소방설비', '관련', '배선', '노후', '배선', '오인', '절단', '발생', '조사', '화재', '시', '작동', '이산화탄소', '밸브', '열리', '이산화탄소', '배출', '시작', '밸브', '이산화탄소', '다량', '누출', '발생', '해당', '밸브', '1998년', '제작', '동', '재질', '제품', '부식', '균열', '기계적', '진동', '나사마모', '나사골', '변형', '순간적', '응력', '집중', '파손', '파악', '경찰', '국립과학수사연구원', '한국소방산업기술원', '감정', '결과', '사고', '원인', '확', '한', '뒤', '박', '부사장', '사고', '책', '결론', '신고의무', '발생', '화학사고', '삼성', '측이', '발생', '후', '1시간', '49분', '화학물질관리법', '위반', '혐의', '적용']"
