Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,3.0,0.9886000156402588,"제시, 동종목, 목표주가, 기준, 투자의견, 발표, 유, 매매의견, 전, 수준","['교보증권', '25', '삼성화재000810', '적극적', '주주환원', '정책', '목표주가', '상향', '라', '투자의견', '제시', '목표주가', '370000원', '교보증권', '김지영', '애널리스트', '동종목', '제시', '의견', '교보증권', '직전', '매매의견', '유', '전년도말', '매매의견', '기준', '매수의견', '유', '상태', '분기내', '발표', '전체', '증권사', '리포트', '컨센서스', '비교', '경우', '오늘', '발표', '투자의견', '대체적', '평균치', '해당', '수준', '의견', '동종목', '전체적', '분석', '목표주가', '추이', '한동안', '수준', '유', '목표가가', '상향조정', '모습', '전', '종', '기준', '동종목', '현주가', '제시', '목표', '대비', '22', '5', '추가상승여력', '해석', '제시']"
1,3.0,0.7106999754905701,"제시, 동종목, 목표주가, 기준, 투자의견, 발표, 유, 매매의견, 전, 수준","['증권', '27', '삼성화재000810', '대내외', '경기', '증시', '향방', '불확실성', '지속', '가운데', '올해', '양호한', '실적', '배당', '매력', '부각', '진단', '투자의견', '매수Buy', '유지', '목표주가', '36만원', '5', '92만원', '상향', '조정', '이남석', '증권', '연구원', '“삼성화재', '경우', '손해보험업종', '주', '상단', '제한', '보험료', '조정', '불확실성', '실적', '리스크', '부담', '상대적', '낮다”며', '“보유하', '우량계약', '비중', '때문', '보험료', '인상', '가능성', '배제', '자동차보험', '실손의료보험', '손해율', '업계', '내', '낮', '수준', '유', '예상된다”고', '분석', '실적', '리스크', '전망', '“삼성화재', '1분기', '순이익', '전망치', '전년동기대비', '0', '5', '증가', '3030억원', '시장', '기대치2713억원', '수준', '기록', '것”이라', '“지난해', '정비요금', '인상', '자동차보험', '원', '상승분', '상반기', '실적', '보수적', '형성', '실손의료보험', '중심', '장기위험', '손해율', '개선세가', '지속', '있다”고', '설명', '“금리', '하락', '안정적', '배당수익', '확보', '목적', '투자수요', '점', '긍정적', '요인”', '강조']"
2,4.0,0.986299991607666,"치매, 가입, 보장, 100세, 보험료, 담보, 상품, 지급, 플러스","['삼성화재우', '차트', '분석◆', '주체별', '매매동향', '3', '간', '기관', '대량', '순매수지난', '한달', '기준', '기관', '6', '9만주', '순매수한', '반면', '외국인', '1', '1만주', '순매도했고', '개', '5', '7만주', '순매도했다', '기간', '종목', '비중', '기관', '개인', '44', '2', '36', '6', '비중', '3', '간', '기관', '대량', '순매수', '투자자들', '관심', '집중', '그래프', '삼성화재우', '외국인기관', '매매동향한경로보뉴스', '기사', '한국경제신문', '금융', '전문기업', '씽크풀', '공동', '개발한', '기사', '자동생성', '알고리즘', '실시간', '작성']"
3,3.0,0.9922999739646912,"제시, 동종목, 목표주가, 기준, 투자의견, 발표, 유, 매매의견, 전, 수준","['삼성화재우000815', '52주신고가', '기록', '주목', '만', '동종목', '현재', '주가', '201500원', '선', '거래일', '기준', '3', '간', '평균', '거래량', '234', '주', '60일', '평균', '거래량', '1', '주', '비교', '거래량', '외국', '기관', '보유량', '증', '5일', '누적', '5', '간', '동종목', '외국', '투자자', '2324주', '순매수하', '마찬가지', '기관', '6775주', '순매수하였다', '전날', '외국', '200주', '순매', '기관6775주', '순매수하', '보유', '비율', '변동', '표', '동종목', '외국', '기관', '일별', '순매수량', '외국인', '개인', '순매도', '기관', '순매수한달누적', '전', '기관', '6775주', '순매수했고', '외국인', '200주', '순매도했다', '4주간', '기준', '기관', '초반', '동종목', '순매수한', '이후', '기세', '63979주', '순매수한', '반면', '외국인', '초반', '동종목', '순매도한', '이후', '근래', '순매도량', '줄', '10094주', '순매도했고', '개', '관점', '접근', '52834주', '순매도했다', '금융', '전문기업', '씽크풀', '파이낸셜뉴스', '협업', '로봇기자', '실시간', '생산', '기사']"
4,4.0,0.9959999918937683,"치매, 가입, 보장, 100세, 보험료, 담보, 상품, 지급, 플러스","['최영무', '사장', '삼성화재', '화재', '해상', '자동차', '배상책임', '장기손해보험', '개인연금', '다양한', '손해보험상품', '퇴직연금상품', '판매', '국내', '1위', '손해보험', '회사', '삼성화재', '경제적', '성', '다양', '이해관계자', '가치', '존중', '환경·사회적', '책', '노력', '신뢰', '공존', '가치', '기반', '협력업체', '상생', '관계', '구축', '소외', '이웃', '따뜻한', '실천', '삼성화재', '최고경영자CEO', '직속', '최고소비자책임자CCO', '임명', '실무', '부서', '소비자정책팀', '운영', '공정성·객관성·전문성', '확보', '고객', '분쟁', '합리적', '심의', '교수', '변호사', '의사', '외부', '전문', '6명', '구성', '고객권익보호위원회', '운영', '고객', '불편', '사항', '현장', '신속', '해결', '소비자보호센터', '전국', '6대', '권역', '확대', '영업·보상', '실무', '경험', '풍부', '인력', '배치', '올해', '고객', '패널', '소비자보호위원회', '고객권익보호위원회', '운영', '서비스', '품질', '개선', '노력', '방침', '한편', '삼성화재', '보험', '환경', '극복', '장기', '보험', '채널·상품구조', '혁신', '시장', '최상', '경쟁력', '발휘', '지원', '예정', '선제적', '상품', '공급', '현장', '지향', '언더라이팅', '프로세스', '개', '현장', '중심', '지원체계', '강화', '자동차보험', '보험', '물', '상승', '손해율', '악화', '불리', '사업', '환경', '지속', '적정', '원가', '확보', '보상', '효율', '채널', '대응', '강화', '예정', '시장', '경쟁력', '차별', '영역', '추', '발굴', '판매', '채널별', '특화', '영업전략', '확대', '전개', '일반', '보험', '그동안', '지속', '사업구조', '개선', '성장동력', '발굴', '노력', '가시적', '성과', '창출', '한편', '해외', '사업', '수익', '구조', '안정화', '주력', '자산운용', '고수익', '중심', '자산', '포트폴리오', '조정', '투자이익', '원천', '다변화', '내년', '예상', '금융시장', '불안정성', '적극', '대응', '예정', '혁신', '소통', '삼성화재만', '역동적', '조직', '문화', '정착', '주요', '경영', '전략', '실행', '올해', '삼성화재', '재도약', '원년', '계획']"
5,0.0,0.993399977684021,"위원회, 교수, 회사, 소비자, 고객권익보호위원회, 중, 본사, 성신여대, 심의","['장애인먼저실천운동본부이사장', '이수성', '삼성화재RC대표이사', '사장', '최영무', '유성구장애인종합복지관관장', '김영근', '500원', '희망선물', '293‧294호', '가정', '선정', '편의시설', '개선', '25일월', '유성구장애인종합복지관', '입주식', '293호', '선정', '이○○씨', '고등학교', '2학년', '뇌수막염', '수술', '후', '두', '다리', '기능', '상실', '중증', '지체장애', '판정', '그동안', '아버지', '지원', '아버지', '연로', '자립생활', '훈련', '시작', '집안', '내', '편의시설', '설치', '자립생활', '훈련', '엄두', '500원', '희망선물', '생활', '가능', '높낮이', '조절', '가능', '의료용', '침대', '이용', '가능', '수납장', '설치', '이동', '가능', '가정', '내', '접이식', '핸드레', '현관', '경사로', '설치', '전동휠체어', '사용', '외출', '입주식', '삼성화재', '충청사업부', '상무', '유성구장애인종합복지관', '김영근', '관장', '한국지체장애인협회', '유성구지회', '박종해', '회장', '삼성화재', '둔산지역', '안두헌', '단장', '40명', '참석', '입주', '축하', '500원', '희망선물', '삼성화재', '장기계약', '1건', '500원', '모금', '조성', '기금', '재원', '장애인가정', '시설', '생활환경', '개선', '사업', '2005년', '6월', '시작', '2019년', '3월', '현재', '8385명', '삼성화재RC들', '참여', '누적모금액', '61억3000만원', '전국', '294곳', '장애인가정', '시설', '개선']"
6,4.0,0.9451000094413757,"치매, 가입, 보장, 100세, 보험료, 담보, 상품, 지급, 플러스","['사진삼성화재글로벌', '금융시장', '불안정성', '가운데', '수출산업', '성장', '둔화세가', '현실화', '장기간', '내수', '침체', '영향', '심화', '올해', '보험산업', '환경', '양', '적', '기반', '약화', '예상', '삼성화재', '비상', '담대', '도전', '과감', '실행', '미래', '올해', '경영', '방침', '지속적', '악화', '경영환경', '계획', '장기·자동차·일반보험', '전', '사업부문', '역량', '강화', '고객중심', '기반', '경영전략', '시행', '올해', '재도약', '원년', '방침', '◆전', '사업부문', '채널', '대응', '강화장기보험', '경우', '채널', '상품구조', '혁신', '시장', '최상', '경쟁력', '발휘', '지원', '예정', '선제적', '상품', '공급', '현장', '지향', '언더라이팅', '프로세스', '개', '현장', '중심', '지원체계', '강화', '계획', '자동차보험', '보험물', '상승', '손해율', '악화', '불리', '사업환경', '지속', '적정원', '확보', '보상효율', '채널대응', '강화', '예정', '시장', '경쟁력', '차별화', '영역', '추', '발굴', '판매', '채널별', '특화', '영업전략', '확대', '전개', '예정', '일반보험', '그동안', '지속', '사업구조', '개', '성장동력', '발굴', '노력', '가시적', '성과', '창출', '한편', '해외사업', '수익구조', '안정화', '주력', '예정', '자산운용', '고수익', '중심', '자산', '포트폴리오', '조정', '투자이익', '원천', '다변화', '내년', '예상', '금융시장', '불안정성', '적극', '대응', '예정', '삼성화재', '고객중심', '경영', '활동', '선제적', '기획', '실행', '최고경영자CEO', '직속', '최고소비자책임자CCO', '임명', '실무부서', '소비자정책팀', '운영', '공정성', '객관성', '전문성', '확보', '고객', '분쟁', '합리적', '심의', '교수', '변호사', '의사', '6명', '외부전문가', '구성', '고객권익보호위원회', '운영', '고객', '불편사항', '현장', '신속', '해결', '소비자보호센터', '전국', '6대', '권역', '확대', '영업', '보상', '실무', '경험', '풍부', '인력', '배치', '고객패널', '소비자보호위원회', '고객권익보호위원회', '운영', '서비스', '품질', '개선', '방침', '◆혁신·소통', '강화\xa0역동적', '조직문화', '정착\xa0삼성화재', '혁신', '소통', '역동적', '조직문화', '정착', '주요', '경영전략', '실행', '올해', '재도약', '원년', '계획', '삼성화재', '경제적', '성', '다양', '이해관계자', '가치', '중', '환경', '사회적', '책', '노력', '방침', '고객', '주주', '임직원', '지역사회', '협력업체', '다양한', '이해관계자들', '긍정적', '영향', '목표', '지속적', '노력', '고객', '가치', '최우선', '고객', '진정한', '안심', '감동', '동반자', '역할', '고객', '필요', '상품', '서비스', '개발', '추진', '의지', '미래', '성장동력', '적극적', '발굴', '보험', '산업', '선도해', '공존', '가치', '기반', '사회', '협력', '파트너', '성장', '사회친화적', '기업', '따뜻한', '실천', '예정', '☞', '기사', '머니S', '제585호2019년', '3월264월1일', '기사']"
7,2.0,0.9954000115394592,"전년, 증가, 기록, 4, 상승, 1, 업체, 자동차보험, 임원","['대기업', '회사', '접수', '임원급', '비리', '처리', '자세', '삼성화재', '자회사', '임원', '부인', '이름', '자동차', '수리업체', '삼성화재', '업체', '조직적', '비리', '제보', '협력업체', '이후', '감', '폐업', '처지', '이현준', '기자', '취재', '리포트', '감', '썰렁', '자동차', '변속기', '수리업체', '3년', '사업', '감', '이대', '문', '상황', '약', '두', '달', '전', '삼성화재', '본사', '자회사', '임원', '씨', '비리', '제보', '이후', '경영난', '시작', '협력업체', '대표음성변조', '고민', '아내', '불이익', '테', '잘못된', '거', '잘못', '제보', '내용', '자동차', '수리', '업무', '총괄', '삼성화재', '자회사', '임원', '부인', '명의', '자동차', '변속기', '수리', '업체', '제보', '이후', '지금', '삼성화재', '의뢰', '수리', '한', '거', '달', '평균', '6건', '협력업체', '대표음성변조', '전체', '감', '80', '삼성', '제보', '이후', '제보', '때문', '생각', '실제', '임원', '씨', '업체', '설립', '당시', '삼성화재', '내부', '조직적', '정황', '곳곳', '대물', '보상', '담당', '부서장', '지역', '센터장', '소집', '임원', '퇴직', '프로그램', '업체', '말', '거', '해당', '업체', '정보', '공문', '수리', '필요', '활용하길', '문구', '삼성화재', '측은', '감', '업체', '소개', '일상적', '항변', '업체', '소개', '이례적', '내부', '직원', '전언', '삼성화재', '해당', '임원', '징계', '사직', '처리', '선', '마무리', '관리', '강화', '약속', '한건탁삼성화재애니카손해사정', '책', '애니카', '손사', '해당', '업무', '프로세스', '재점검', '특정', '업체', '부당', '혜택', '불이익', '해당', '임원', '배우', '명의', '업체', '출근', '뉴스', '이현준']"
8,0.0,0.9958999752998352,"위원회, 교수, 회사, 소비자, 고객권익보호위원회, 중, 본사, 성신여대, 심의","['한국신용평', '리포트공정법·보험법', '개정시지주사', '강제전환', '부담공정거래법', '보험업법', '개정', '경우', '삼성그룹', '삼성전자', '지배력', '관측', '삼성생명', '삼성화재', '보유한지분', '가운데', '절반', '삼성물산', '매입', '분석', '천문학적', '자금', '필요', '지주회사', '강제전환', '위해서다한국신용평가', '25일', '한', '스페셜리포트', '그룹구조개편', '가이드라인', '공정거래법', '지난해', '7월', '박용진', '더불어민주당', '의원', '대표', '발의', '보험업법', '개정안', '당정', '올해', '6월', '입법', '완료', '공정거래법', '전면개정안', '삼성그룹', '시장', '매각', '계열사', '지분', '약', '9조4000억원', '보험업법', '개정안', '통과', '삼성생명', '시', '23조원', '규모', '삼성전자', '지분8', '51', '가운데', '16조4000억원', '매각', '삼성전자', '1', '49', '보유', '삼성화재', '이유', '1조9000억원', '주식', '내놔야', '한신평', '두', '보험사', '매각', '삼성전자', '주식', '상당', '부분', '삼성물산', '인수', '절반가량', '그룹', '외부', '매각', '전망', '두', '보험사', '삼성전자', '주식', '매입', '경우', '삼성물산', '자산총액', '가운데', '자회사', '주식가액', '비중', '50', '초과', '공정거래법상', '지주회사', '강제전환', '요건', '해당', '삼성물산', '지주회사', '전환', '상장', '자회사', '보유요건공정거래법', '개정시', '30', '충족', '지분', '추', '매입', '67조원', '투입', '삼성물산', '지주회사', '전환', '선', '추', '취득', '삼성전자', '지분', '약', '3', '39조원', '나머지', '3', '49', '시장', '매각', '한신평', '관측', '한신평', '삼성물산', '관련', '자금소요', '차입금', '확대', '한편', '현대차', '그룹', '경우', '순환출자', '고리', '해소', '과정', '기아차', '현대제철', '보유', '현대모비스', '지분각각', '16', '9', '5', '7', '매각', '시나리오', '가능', '지분', '매각시', '정의선', '부회장', '대주주', '지배력', '약화', '우', '점', '현대모비스', '지분', '외부', '현대글로비스', '대주주', '일가', '지분', '매입', '주체', '전망', '경우', '현대글로비스', '차입', '확대', '정도', '신용도', '측면', '모니터링', '요인']"
9,0.0,0.9958000183105469,"위원회, 교수, 회사, 소비자, 고객권익보호위원회, 중, 본사, 성신여대, 심의","['공정거래법', '보험업법', '개정', '경우', '삼성그룹', '삼성전자', '지배력', '관측', '삼성생명', '삼성화재', '보유한지분', '가운데', '절반', '삼성물산', '매입', '분석', '천문학적', '자금', '필요', '지주회사', '강제전환', '위해서다한국신용평가', '25일', '한', '스페셜리포트', '그룹구조개편', '가이드라인', '공정거래법', '지난해', '7월', '박용진', '더불어민주당', '의원', '대표', '발의', '보험업법', '개정안', '당정', '올해', '6월', '입법', '완료', '공정거래법', '전면개정안', '삼성그룹', '시장', '매각', '계열사', '지분', '약', '9조4000억원', '보험업법', '개정안', '통과', '삼성생명', '시', '23조원', '규모', '삼성전자', '지분8', '51', '가운데', '16조4000억원', '매각', '삼성전자', '1', '49', '보유', '삼성화재', '이유', '1조9000억원', '주식', '내놔야', '한신평', '두', '보험사', '매각', '삼성전자', '주식', '상당', '부분', '삼성물산', '인수', '절반가량', '그룹', '외부', '매각', '전망', '두', '보험사', '삼성전자', '주식', '매입', '경우', '삼성물산', '자산총액', '가운데', '자회사', '주식가액', '비중', '50', '초과', '공정거래법상', '지주회사', '강제전환', '요건', '해당', '삼성물산', '지주회사', '전환', '상장', '자회사', '보유요건공정거래법', '개정시', '30', '충족', '지분', '추', '매입', '67조원', '투입', '삼성물산', '지주회사', '전환', '선', '추', '취득', '삼성전자', '지분', '약', '3', '39조원', '나머지', '3', '49', '시장', '매각', '한신평', '관측', '한신평', '삼성물산', '관련', '자금소요', '차입금', '확대', '한편', '현대차', '그룹', '경우', '순환출자', '고리', '해소', '과정', '기아차', '현대제철', '보유', '현대모비스', '지분각각', '16', '9', '5', '7', '매각', '시나리오', '가능', '지분', '매각시', '정의선', '부회장', '대주주', '지배력', '약화', '우', '점', '현대모비스', '지분', '외부', '현대글로비스', '대주주', '일가', '지분', '매입', '주체', '전망', '경우', '현대글로비스', '차입', '확대', '정도', '신용도', '측면', '모니터링', '요인']"
